name,abbreviations,category,specimenType,referenceRange,unit,clinicalSignificance
"高敏肌钙蛋白I","hs-cTnI|cTnI","lab","血清","<0.04","ng/mL","升高提示心肌损伤|用于AMI诊断和危险分层|动态监测判断再梗死"
"高敏肌钙蛋白T","hs-cTnT|cTnT","lab","血清","<14","ng/L","升高提示心肌损伤|用于AMI诊断|敏感性高于普通肌钙蛋白"
"肌酸激酶同工酶","CK-MB","lab","血清","0-24","U/L","升高提示心肌损伤|AMI发病4-6h升高|24h达峰"
"B型钠尿肽","BNP|NT-proBNP","lab","血浆","<100","pg/mL","升高提示心力衰竭|用于心衰诊断和预后评估|动态监测治疗效果"
"D-二聚体","D-Dimer|DD","lab","血浆","<0.5","mg/L FEU","升高提示血栓形成或纤溶激活|用于排除VTE(阴性预测值高)|非特异性升高见于感染/肿瘤/妊娠"
"血沉","ESR","lab","全血","男<15 女<20","mm/h","升高见于感染|自身免疫病|恶性肿瘤|组织损伤"
"C反应蛋白","CRP|hs-CRP","lab","血清","<10(常规) <1(hs)","mg/L","升高见于感染|炎症|心血管风险评估(hs-CRP)"
"同型半胱氨酸","Hcy","lab","血清","5-15","μmol/L","升高是心脑血管疾病独立危险因素|与B族维生素缺乏相关"
"血糖","Glu|FBG","lab","血清/血浆","3.9-6.1(空腹)","mmol/L","升高提示糖尿病|降低提示低血糖脑病|溶栓前必查"
"糖化血红蛋白","HbA1c","lab","全血","4-6","%","反映近8-12周平均血糖水平|糖尿病诊断和监测"
"凝血酶原时间","PT|INR","lab","血浆","11-14秒|INR 0.8-1.2","秒/INR","延长提示凝血功能障碍|华法林监测|溶栓前必查"
"活化部分凝血活酶时间","APTT","lab","血浆","25-37","秒","延长提示内源性凝血异常|肝素监测|溶栓前必查"
"乳酸","Lac","lab","血浆","0.5-2.2","mmol/L","升高提示组织灌注不足|脓毒症|休克|线粒体疾病"
"降钙素原","PCT","lab","血清","<0.05","ng/mL","升高提示细菌感染|脓毒症诊断和抗生素指导"
"脑利钠肽","BNP","lab","血浆","<100","pg/mL","心衰诊断标志物"
