genericName,brandNames,category,indications,contraindications,dosage,insuranceClass,prescriptionOnly
"阿司匹林","拜阿司匹灵|巴米尔","抗血小板药","急性心肌梗死|缺血性脑卒中二级预防|TIA","活动性消化道出血|阿司匹林过敏|严重肝肾功能不全","100mg qd","甲类","false"
"氯吡格雷","波立维|泰嘉","抗血小板药","急性冠脉综合征|缺血性脑卒中|PCI术后","活动性出血|严重肝功能不全","75mg qd","乙类","true"
"阿托伐他汀","立普妥|阿乐","调脂药","高胆固醇血症|冠心病二级预防|缺血性卒中","活动性肝病|妊娠|哺乳期","20-40mg qn","乙类","true"
"瑞舒伐他汀","可定|舒降之","调脂药","高胆固醇血症|ASCVD高危","活动性肝病|妊娠|严重肾功能不全","10-20mg qn","乙类","true"
"华法林","华法林钠","抗凝药","房颤|心脏瓣膜置换术后|DVT/PE","活动性出血|严重高血压|妊娠前3个月","个体化(INR 2-3)","甲类","true"
"达比加群","泰毕全","抗凝药","非瓣膜性房颤|DVT/PE","活动性出血|严重肾功能不全","110-150mg bid","乙类","true"
"利伐沙班","拜瑞妥","抗凝药","非瓣膜性房颤|DVT/PE","活动性出血|严重肾功能不全|妊娠","15-20mg qd","乙类","true"
"尼莫地平","尼莫同","钙通道阻滞剂","蛛网膜下腔出血后脑血管痉挛","严重低血压|肝功能不全","60mg q4h(SAH)","甲类","true"
"甘露醇","甘露醇注射液","脱水降颅压药","颅内压增高|脑水肿","严重脱水|急性肺水肿|活动性颅内出血","125-250ml q8-12h ivgtt","甲类","true"
"丁苯酞","恩必普","神经保护剂","急性缺血性脑卒中","出血性卒中|严重肝功能不全","0.2g tid","乙类","true"
"依达拉奉","依达拉奉注射液","自由基清除剂","急性缺血性脑卒中","肾功能不全|过敏史","30mg bid ivgtt","乙类","true"
"美托洛尔","倍他乐克","β受体阻滞剂","高血压|心绞痛|心衰|房颤心室率控制","严重心动过缓|房室传导阻滞|心源性休克","25-100mg bid","甲类","true"
"硝酸甘油","硝酸甘油片|耐绞宁","硝酸酯类","急性心绞痛发作|急性心衰","严重低血压|颅内压增高|PDE5抑制剂使用后","0.5mg舌下含服(prn)","甲类","true"
"胺碘酮","可达龙","抗心律失常药","室性心律失常|房颤复律|房颤心室率控制","严重心动过缓|甲状腺功能异常|碘过敏|妊娠","负荷量+维持量(个体化)","甲类","true"
"地高辛","地高辛片","强心苷","房颤心室率控制|慢性心衰","室性心动过速|房室传导阻滞|低钾血症","0.125-0.25mg qd","甲类","true"
"低分子肝素","克赛|法安明","抗凝药","DVT/PE|ACS|房颤抗凝","活动性出血|严重血小板减少","1mg/kg q12h ih","甲类","true"
